node,record_id,name,layer,layer_name,degree,cross_layer_degree,betweenness_centrality,PCA_PC1,PCA_PC2,betweenness_rank,cross_layer_bridge_rank
137,PUBCHEM_6322,arginine,2,Prebiotic building blocks,27,10,0.0005401658264819336,0.8421034569392032,0.8425121187122493,106,82
80,PUBCHEM_261,butyraldehyde,1,Simple organic chemistry,22,9,0.0064474289711482224,-2.4942799398463475,0.98581622898717,46,83
175,PUBCHEM_8857,ethyl acetate,1,Simple organic chemistry,29,9,0.00537531475510093,-2.1598758396323063,0.6408076138753348,61,84
160,PUBCHEM_760,glyoxylic acid,1,Simple organic chemistry,33,8,0.0160514175563619,-2.128160915876122,-0.9408801348211157,20,85
157,PUBCHEM_751,glyceraldehyde,2,Prebiotic building blocks,14,8,0.0072126706042240545,-1.5207817042228495,-0.02750850261477979,43,86
153,PUBCHEM_702,ethanol,1,Simple organic chemistry,23,8,0.004247778599969115,-2.812253545107754,0.473892102580556,72,87
30,PUBCHEM_1031,propanol,1,Simple organic chemistry,22,8,0.003993220667357305,-2.559220452279046,0.8651494280068536,74,88
98,PUBCHEM_439665,threose,3,Pre-nucleic/functional systems,8,8,0.0022032960952018733,-0.6725872279947425,0.124581227464808,82,89
76,PUBCHEM_179,acetoin,1,Simple organic chemistry,23,8,0.0007033014221205801,-1.96393042001024,0.5081943667313655,103,90
118,PUBCHEM_6057,tyrosine,2,Prebiotic building blocks,24,7,0.004074840409662964,0.7480596327242939,0.8653400643333103,73,91
82,PUBCHEM_2723790,thiourea,2,Prebiotic building blocks,7,7,2.3037790987459247e-05,-2.3169858266071843,-1.1089447904742362,138,92
59,PUBCHEM_135398634,guanine,2,Prebiotic building blocks,13,6,0.08150383928223792,1.2474085565123403,-0.7061298818385073,7,93
171,PUBCHEM_7956,cyanuric acid,3,Pre-nucleic/functional systems,7,6,0.018462026624673306,0.11944099950704475,-1.367598183396198,18,94
28,PUBCHEM_1004,phosphoric acid,2,Prebiotic building blocks,8,6,0.011485864494822756,-1.4837579514738268,-1.5006436008478057,30,95
101,PUBCHEM_517165,ammonium acetate,1,Simple organic chemistry,27,6,0.005955137037053163,-1.9652680095594135,-0.5269251365001285,51,96
147,PUBCHEM_6561,isobutyraldehyde,1,Simple organic chemistry,18,5,0.007820230712968425,-2.546382495869394,0.8119746206974284,39,97
104,PUBCHEM_5460005,2-deoxyribose,2,Prebiotic building blocks,9,5,0.0033848381755494923,-0.4152373500732617,0.5732424544471051,77,98
158,PUBCHEM_753,glycerol,1,Simple organic chemistry,9,5,0.0009350121158169822,-1.3254944820055528,0.3387551910912005,100,99
92,PUBCHEM_32838,guanidinium,3,Pre-nucleic/functional systems,7,5,2.3037790987459247e-05,-1.8814116277770259,-1.4011553156326344,139,100
94,PUBCHEM_3520,guanidine,3,Pre-nucleic/functional systems,7,5,2.3037790987459247e-05,-1.8987948013047007,-1.1026887912655396,140,101
45,PUBCHEM_1135,thymine,2,Prebiotic building blocks,9,4,0.1302734488007196,-0.42364311575726504,-0.32488438605343123,5,102
