record_id,source_name,layer,layer_name,pubchem_cid,inchikey,existing_formula,canonical_smiles,Canonical_RDKit_SMILES,RDKit_MolecularFormula,RDKit_MolecularWeight,RDKit_LogP,RDKit_TPSA,RDKit_HBondDonors,RDKit_HBondAcceptors,RDKit_RotatableBonds,RDKit_RingCount,RDKit_AromaticRings,RDKit_AliphaticRings,RDKit_HeavyAtomCount,RDKit_HeteroAtoms,RDKit_FractionCSP3,RDKit_MolMR,RDKit_FormalCharge,RDKit_AtomCount,RDKit_CarbonCount,RDKit_NitrogenCount,RDKit_OxygenCount,RDKit_PhosphorusCount,RDKit_SulfurCount,PCA_PC1,PCA_PC2,PCA_PC3,network_degree,cross_layer_degree,betweenness_centrality
L0_d982e6a7ff42c25e,Hydrogen sulfide,0,Inorganic/mineral chemistry,402,RWSOTUBLDIXVET-UHFFFAOYSA-N,H2S,S,S,H2S,34.083,0.11280000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.381,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-3.7375461701329216,-0.9731364428863303,0.6742734424548843,0,0,0.0
L0_dd1c355b8cc591e6,Molybdenite,0,Inorganic/mineral chemistry,14823,CWQXQMHSOZUFJS-UHFFFAOYSA-N,MoS2,S=[Mo]=S,[S]=[Mo]=[S],MoS2,160.074,1.2939,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,15.182,0.0,3.0,0.0,0.0,0.0,0.0,2.0,-3.159623345477285,-0.92785562303731,1.0037916833465204,0,0,0.0
L0_ddf74783a6568c47,Carbon dioxide,0,Inorganic/mineral chemistry,280,CURLTUGMZLYLDI-UHFFFAOYSA-N,CO2,C(=O)=O,O=C=O,CO2,44.009,-0.5835,34.14,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.007,0.0,3.0,1.0,0.0,2.0,0.0,0.0,-2.8852355525241045,-1.1536841173460948,-0.01883102774889998,1,1,0.0
L0_e1129d7f3591a5d9,Galena,0,Inorganic/mineral chemistry,14819,XCAUINMIESBTBL-UHFFFAOYSA-N,PbS,S=[Pb],[S]=[Pb],PbS,239.267,0.26739999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,13.344999999999999,0.0,2.0,0.0,0.0,0.0,0.0,1.0,-3.00707511786284,-0.9441311744111982,0.5412095059271437,2,0,0.0
L0_f981390c58218f98,Greenockite,0,Inorganic/mineral chemistry,14783,CJOBVZJTOIVNNF-UHFFFAOYSA-N,CdS,S=[Cd],[S]=[Cd],CdS,144.479,0.6457,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,7.591,0.0,2.0,0.0,0.0,0.0,0.0,1.0,-3.3114389762494505,-0.9184354981919,0.6177193743158453,2,0,0.0
L3_e47a9c4ce3cf16e5,cyclo(gly-ala),3,Pre-nucleic/functional systems,7817,BXRNXXXXHLBUKK-UHFFFAOYSA-N,,C1C(=O)NCC(=O)N1,O=C1CNC(=O)CN1,C4H6N2O2,114.104,-1.7676,58.2,2.0,2.0,0.0,1.0,0.0,1.0,8.0,4.0,0.5,26.019399999999997,0.0,8.0,4.0,2.0,2.0,0.0,0.0,-0.4145239472654872,-0.6454965927073679,0.15765435566871652,1,0,0.0
PUBCHEM_10005,dicyandiamide,2,Prebiotic building blocks,10005,QGBSISYHAICWAH-UHFFFAOYSA-N,,C(#N)N=C(N)N,N#CN=C(N)N,C2H4N4,84.08200000000002,-1.2591200000000002,88.19,2.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,21.422800000000006,0.0,6.0,2.0,4.0,0.0,0.0,0.0,-1.3929707076567994,-1.0614841283875214,1.0131345042471422,2,1,0.0
PUBCHEM_1004,phosphoric acid,2,Prebiotic building blocks,1004,NBIIXXVUZAFLBC-UHFFFAOYSA-N,,OP(=O)(O)O,O=P(O)(O)O,H3O4P,97.99399999999999,-0.9286000000000001,77.76,3.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,14.2629,0.0,5.0,0.0,0.0,4.0,1.0,0.0,-1.4837579514738268,-1.5006436008478057,-0.5781562251771384,8,6,0.011485864494822756
PUBCHEM_1023,pyrophosphoric acid,2,Prebiotic building blocks,1023,XPPKVPWEQAFLFU-UHFFFAOYSA-N,,OP(=O)(O)OP(=O)(O)O,O=P(O)(O)OP(=O)(O)O,H4O7P2,177.973,-0.8116000000000001,124.29000000000002,4.0,3.0,2.0,0.0,0.0,0.0,9.0,9.0,0.0,25.173199999999998,0.0,9.0,0.0,0.0,7.0,2.0,0.0,0.4436747629302386,-1.547483828421209,-1.403017023747748,3,0,0.00013822122633232683
PUBCHEM_1031,propanol,1,Simple organic chemistry,1031,BDERNNFJNOPAEC-UHFFFAOYSA-N,,CCCO,CCCO,C3H8O,60.096,0.3887,20.23,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,17.376800000000003,0.0,4.0,3.0,0.0,1.0,0.0,0.0,-2.559220452279046,0.8651494280068536,-0.7396922712745094,22,8,0.003993220667357305
