PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,record_id,source_name,layer,layer_name,pubchem_cid,inchikey,existing_formula,canonical_smiles,Canonical_RDKit_SMILES,RDKit_MolecularFormula
-1.4837579514738268,-1.5006436008478057,-0.5781562251771384,-0.002948035255452326,-0.13549714589462825,-1.6574102002093396,0.2610271849041651,-0.5471701805533792,0.7483026723048315,0.2607071836936647,-0.2761001426072097,-0.5079980980138278,0.02389217622112773,0.06547473730507128,-0.009045501913679935,0.10184614594179946,-0.0018117386007492431,9.319878524948177e-17,8.998363668412687e-17,-1.3432254882606597e-17,PUBCHEM_1004,phosphoric acid,2,Prebiotic building blocks,1004,NBIIXXVUZAFLBC-UHFFFAOYSA-N,,OP(=O)(O)O,O=P(O)(O)O,H3O4P
0.4436747629302386,-1.547483828421209,-1.403017023747748,0.5743739894429171,-0.2331468035302726,-2.7159459894742826,0.5575581729370854,-0.7535396318140897,0.7026709690765123,0.10208016027397412,-0.31007587501874156,-0.45856759220978127,0.00309904878904537,0.026569246963655715,0.00043716908271345913,0.12033914839365586,-0.010592861292437345,1.1654165361943809e-16,6.754308770122673e-17,-5.509486398060749e-17,PUBCHEM_1023,pyrophosphoric acid,2,Prebiotic building blocks,1023,XPPKVPWEQAFLFU-UHFFFAOYSA-N,,OP(=O)(O)OP(=O)(O)O,O=P(O)(O)OP(=O)(O)O,H4O7P2
-2.559220452279046,0.8651494280068536,-0.7396922712745094,-0.43683846605486926,0.3081940845969843,0.5038886733282285,0.7364639195686237,-0.635036526814757,-0.4121327338369537,-0.05347558204108354,-0.06759960238063484,-0.08157314476255872,0.04201511080245701,0.05019488004617438,0.0235100390883726,0.03356394767278862,-0.003966253023717113,-5.3768849456278885e-17,-5.378274011287371e-17,6.447449942428858e-18,PUBCHEM_1031,propanol,1,Simple organic chemistry,1031,BDERNNFJNOPAEC-UHFFFAOYSA-N,,CCCO,CCCO,C3H8O
-2.296821262240351,0.39088703366010324,-0.5799524732864682,-0.2976182937472245,0.15132237518747665,0.042828434242736996,0.146159006204266,-0.5103358256162017,-0.1779093142211413,0.037330480427982045,0.1374384730318009,-0.1452107605108734,0.08870496876645684,0.03002197180036899,-0.045328602194157644,-0.014336943190987437,0.008845061746960611,-5.077534133385537e-17,1.5752762953069415e-18,2.037830044894309e-18,PUBCHEM_1032,propionic acid,1,Simple organic chemistry,1032,XBDQKXXYIPTUBI-UHFFFAOYSA-N,,CCC(=O)O,CCC(=O)O,C3H6O2
-1.470403195223136,1.1525865508110384,-0.40611903217696127,-0.5492313388747244,0.4959331638157927,0.41534905082460094,1.0187834983576214,0.5441366392271162,-0.23044651780750547,-0.46563043263285614,-0.14967689312564386,-0.00541674850908871,-0.0156203925706427,0.014209138939394484,0.1289111166558691,0.04865596439292394,-0.0338844096070265,-3.674641102966617e-17,2.4663472429109945e-17,-4.629505310165186e-18,PUBCHEM_1045,putrescine,3,Pre-nucleic/functional systems,1045,KIDHWZJUCRJVML-UHFFFAOYSA-N,,C(CCN)CN,NCCCCN,C4H12N2
0.5617391598998251,0.6704225792053399,0.71647954865237,-0.4720613258445752,-0.20656524940904894,-0.16329855493364873,-0.4450468372092524,-0.11967306837152297,-0.2857938363832217,1.0443987933339502,0.012151163752673973,0.09639798684399979,-0.23441057702794402,-0.0538743284207292,0.08323182870945178,0.05478933656273797,-0.04619807735217444,-1.1030370554332289e-17,8.719234026594666e-17,3.2506943517978424e-17,PUBCHEM_1054,pyridoxine,2,Prebiotic building blocks,1054,LXNHXLLTXMVWPM-UHFFFAOYSA-N,,CC1=NC=C(C(=C1O)CO)CO,Cc1ncc(CO)c(CO)c1O,C8H11NO3
-1.903966477504272,-0.3097112300039161,-0.4956291568157065,-0.18529805779420136,0.08034368666623046,-0.31067957438177657,-0.39402830305854136,-0.27795856394352164,-0.005674954550056289,0.18276560178968287,0.22426429056831634,0.09598867977432876,-0.01313736130197183,-0.07852641147513709,-0.07245005391701796,-0.06329461502472412,0.024007200106945258,-5.2588765682373874e-17,6.281254580133448e-18,1.1650397225761404e-17,PUBCHEM_1060,pyruvic acid,1,Simple organic chemistry,1060,LCTONWCANYUPML-UHFFFAOYSA-N,,CC(=O)C(=O)O,CC(=O)C(=O)O,C3H4O3
-3.1737625447106614,0.6571864939310621,-0.153674989650149,1.7764181079596058,-0.9298936610727858,1.2994309942170703,1.2113237228515594,-0.4105683197906244,-0.7440324497828265,-0.1467512603367685,-0.05958987698453418,-0.2023018126123572,-0.0804651497868957,-0.2209736488652368,-0.05209588552348042,0.023879782967474943,0.009896745172282735,-6.05410817204087e-17,-4.630528491906448e-17,1.4109786638909546e-18,PUBCHEM_1068,dimethyl sulfide,2,Prebiotic building blocks,1068,QMMFVYPAHWMCMS-UHFFFAOYSA-N,,CSC,CSC,C2H6S
-1.6057506039212548,-1.4288799504159584,-0.43323835825264617,-0.06051866489022303,-0.20046224260490828,-1.6254753738168175,0.4782687921226414,-0.5764262350381769,0.8236871305432237,0.2889372745619567,-0.18907162532826516,0.1492446725546474,-0.15117004201522855,-0.14267539151457567,0.15495771059225175,0.22451657601189476,-0.025352531788359996,1.1330322616075853e-16,-1.03520827999534e-17,-4.411858221301123e-17,PUBCHEM_107909,phosphorous acid,2,Prebiotic building blocks,107909,OJMIONKXNSYLSR-UHFFFAOYSA-N,,OP(O)O,OP(O)O,H3O3P
0.6591098457387748,-0.3837994966462716,-1.2206055243206466,-0.5334140061097772,0.5324902768416531,1.8711315253738907,0.9490250891794603,-0.8888943714692324,0.8287059304301688,0.7285086728231256,0.20822646226455774,0.12168177005844905,-0.03286400002148829,0.04425693710827853,0.1264977601004846,0.018689768744345372,-0.041296283691308444,8.291385941224137e-17,-5.5100164815093055e-17,2.0422197220144324e-17,PUBCHEM_10975657,ribose,2,Prebiotic building blocks,10975657,SRBFZHDQGSBBOR-SOOFDHNKSA-N,,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,OC1OC[C@@H](O)[C@@H](O)[C@H]1O,C5H10O5
